"ID","n_rounds","condition","age","gender","nationality","group_ID","linked_n","link","linked_words","confidence","guessing","guess_n","is_success","round","linked","guessed"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",2,"melting","14, 5",6,"5,14",2,1,8,"butter,igloo","butter,igloo"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"furry","19",9,"19",1,1,2,"llama","llama"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"dark","20",8,"20",1,1,9,"cave","cave"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",2,"think","2,16",9,"2, 16",2,1,3,"wonder,idea","wonder,idea"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"cone","12",10,"12",1,1,10,"pine","pine"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",2,"bold","17, 8",7,"8,22",1,0,4,"ghost,eagle","ant,eagle"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",2,"Ramsay","6,25",8,"6, 25",2,1,11,"devil,kitchen","devil,kitchen"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"art","10",10,"10",1,1,5,"statue","statue"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"dead","17",10,"17",1,1,12,"ghost","ghost"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"spice","1",10,"1",1,1,6,"cinnamon","cinnamon"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"insect","22",10,"22",1,1,7,"ant","ant"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",2,"abstract","2,16",8,"2,16",2,1,1,"wonder,idea","wonder,idea"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",1,"tree","12",10,"12",1,1,8,"pine","pine"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",2,"ingredients","1,14",9,"1,14",2,1,2,"cinnamon,butter","cinnamon,butter"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",1,"room","6",10,"6",1,1,9,"kitchen","kitchen"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",2,"stone","10,20",6,"10,13",1,0,3,"statue,cave","statue,maze"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",1,"insect","22",10,"22",1,1,11,"ant","ant"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",2,"cold","5,17",9,"5,17",2,1,4,"ghost,igloo","ghost,igloo"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",2,"mammal","3,19",10,"19,3",2,1,5,"llama,werewolf","llama,werewolf"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",1,"bird","8",10,"8",1,1,6,"eagle","eagle"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",2,"hell","20,25",7,"20,25",2,1,7,"cave,devil","cave,devil"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",1,"house","6",9,"6",1,1,5,"kitchen","kitchen"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",1,"snow","5",10,"5",1,1,6,"igloo","igloo"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",1,"underground","20",10,"20",1,1,7,"cave","cave"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",4,"comics","3, 16, 22, 25",8,"16, 22,17,8",2,0,1,"wonder,ant,devil,werewolf","wonder,ghost,ant,eagle"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",2,"sweet","1,12",9,"1, 24",1,0,8,"cinnamon,pine","cinnamon,bed"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",3,"milk","19, 14, 1",8,"14, 6, 23",1,0,2,"cinnamon,butter,llama","butter,soup,kitchen"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",1,"sculpture","10",10,"10",1,1,9,"statue","statue"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",4,"intelligence","2,3,25,19",7,"25,2, 10, 7",2,0,3,"llama,idea,devil,werewolf","statue,idea,devil,religion"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",1,"plant","12",10,"12",1,1,10,"pine","pine"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",3,"animal","3,19,8",9,"3, 8, 19",3,1,4,"llama,werewolf,eagle","llama,werewolf,eagle"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",1,"scary","17",10,"17",1,1,12,"ghost","ghost"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"spice","1",10,"1",1,1,6,"cinnamon","cinnamon"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"insect","22",10,"22",1,1,7,"ant","ant"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"shapeshifter","3",10,"3",1,1,1,"werewolf","werewolf"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",2,"melting","14, 5",6,"5,14",2,1,8,"butter,igloo","butter,igloo"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"furry","19",9,"19",1,1,2,"llama","llama"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"dark","20",8,"20",1,1,9,"cave","cave"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",2,"think","2,16",9,"2, 16",2,1,3,"wonder,idea","wonder,idea"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"cone","12",10,"12",1,1,10,"pine","pine"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",2,"bold","17, 8",7,"8,22",1,0,4,"ghost,eagle","ant,eagle"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",2,"Ramsay","6,25",8,"6, 25",2,1,11,"devil,kitchen","devil,kitchen"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"art","10",10,"10",1,1,5,"statue","statue"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"dead","17",10,"17",1,1,12,"ghost","ghost"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"hell","20,25",7,"25,7",1,0,1,"cave,devil","devil,religion"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"Fly","8,17",9,"8, 18",1,0,8,"ghost,eagle","cloud,eagle"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"Flavour","1,14",7,"1,23",1,0,2,"cinnamon,butter","cinnamon,soup"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",1,"insect","22",10,"22",1,1,9,"ant","ant"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"stone","10,20",8,"10,20",2,1,3,"statue,cave","statue,cave"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"White","5,17",9,"14,17",1,0,10,"ghost,igloo","butter,ghost"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"Furry","19,3",9,"3,19",2,1,4,"llama,werewolf","llama,werewolf"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",1,"miracle","16",10,"16",1,1,11,"wonder","wonder"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"witchcraft","6,16",5,"6,23",1,0,5,"wonder,kitchen","soup,kitchen"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",1,"Ananas","12",10,"12",1,1,12,"pine","pine"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",3,"Theoretical","2,17",4,"2,7",1,0,6,"ghost,idea","idea,religion"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"Eskimo","5,14",1,"5,14",2,1,14,"butter,igloo","butter,igloo"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"sandcastle","16,22",5,"4,21",0,0,7,"wonder,ant","pearl,bikini"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",4,"comics","3, 16, 22, 25",8,"16, 22,17,8",2,0,1,"wonder,ant,devil,werewolf","wonder,ghost,ant,eagle"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",2,"sweet","1,12",9,"1, 24",1,0,8,"cinnamon,pine","cinnamon,bed"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",3,"milk","19, 14, 1",8,"14, 6, 23",1,0,2,"cinnamon,butter,llama","butter,soup,kitchen"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",1,"sculpture","10",10,"10",1,1,9,"statue","statue"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",4,"intelligence","2,3,25,19",7,"25,2, 10, 7",2,0,3,"llama,idea,devil,werewolf","statue,idea,devil,religion"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",1,"plant","12",10,"12",1,1,10,"pine","pine"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",3,"animal","3,19,8",9,"3, 8, 19",3,1,4,"llama,werewolf,eagle","llama,werewolf,eagle"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",1,"scary","17",10,"17",1,1,12,"ghost","ghost"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",1,"house","6",9,"6",1,1,5,"kitchen","kitchen"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",1,"snow","5",10,"5",1,1,6,"igloo","igloo"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",1,"underground","20",10,"20",1,1,7,"cave","cave"
"l8ao3la7",10,"S",22,"F","Czech","Hidden Foal",2,"cold","5,17",9,"5,17",2,1,4,"ghost,igloo","ghost,igloo"
"l8ao3la7",10,"S",22,"F","Czech","Hidden Foal",2,"mammal","3,19",10,"19,3",2,1,5,"llama,werewolf","llama,werewolf"
