"Mean","StdDev","lower 0.89","upper 0.89","n_eff","Rhat"
0.23,0.056,0.14,0.321,10000,1
-0.059,0.202,-0.371,0.274,10000,1
-0.191,0.064,-0.292,-0.088,10000,1
