"","WAIC","pWAIC","dWAIC","weight","SE","dSE"
"m_confidence_success_random",130.37,1.681,0,0.307,7.791,NA
"m_confidence_success",131.205,1.587,0.835,0.202,7.832,0.049
"m_semantic_success_random",131.324,1.497,0.954,0.19,6.873,2.928
"m_full_2",131.517,2.655,1.148,0.173,8.115,1.091
"m_semantic_success",132.345,1.49,1.976,0.114,6.978,2.903
"m_semantic_random",138.142,0.856,7.772,0.006,7.001,5.067
"m_semantic",139.232,0.799,8.862,0.004,7.111,5.085
"m_confidence_semantic",139.86,1.632,9.49,0.003,7.157,5.084
"m_confidence_random",142.887,1.038,12.518,0.001,6.644,5.714
"m_confidence",144.043,0.985,13.674,0,6.731,5.725
