"","Mean","StdDev","lower 0.89","upper 0.89","n_eff","Rhat"
"a",-0.001,0.05,-0.08,0.078,6886.833,1
"bR",-0.077,0.096,-0.229,0.081,5696.136,1
"bM",0.192,0.106,0.021,0.356,5260.737,1
